Обозначение	D-d	Ход	Установочный размер	Технические особенности	Область применения	Подвод	Монтажно-конструктивные особенности	Применяемость
КГЦ839.80-50-315	80-50	315	625		Экскаваторы	2 штуц. М22?1.5	"Проуш. S=40; S36 с ШС40"	Гидроцилиндр поворота
КГЦ840.140-80-550	140-80	550	1050		Экскаваторы	Колодки фланцевого зажима	Проуш. S=70 с ШС60	Гидроцилиндр ковша
КГЦ841.125-70-785	125-70	785	1265		Экскаваторы	Колодки фланцевого зажима	Проуш. S=55 с ШС50	Гидроцилиндр подъёма стрелы
КГЦ842.2-80-2200	80-56	2200	1345	двухсторонний	Спецтехника	2 oтв. G1/2?	Цапфы d=40, ШС30	"гидроцилиндр подъема кузова машины KBR-K7K (пылесос) на шасси ""КАМАЗ"""
КГЦ843.40-25-60	40-25	60	265		Спецтехника	2 отв. G3/8?	Вилки с отв. D=20	"Гидроцилиндр замка поднятия крышки задней машины KBR-K7K (пылесос) на шасси ""КАМАЗ"""
КГЦ844.50-25-140	50-25	140	420		Спецтехника	2 отв. G3/8?	Вилки с отв. D=20	"Гидроцилиндр поднятия крышки задней машины KBR-K7K (пылесос) на шасси ""КАМАЗ"""
КГЦ847.80-40-210	80-40	210	604		МТЗ	2 отв. G3/8?	2 отв. М24?1.5	Рулевого управления BELARUS-952.4/1025.4/1523.4/1221.4
КГЦ848.80-40-100	80-40	100	427		Спецтехника	2 отв. М22?1.5	"Проуш. S=35 с ШС40; D=30"	Гидроцилиндр механизма обработки кромки а/б
КГЦ849.80-40-100	80-40	100	427		Спецтехника	2 отв. М22?1.5	"Проуш. S=35 с ШС40; вилка D=25"	Гидроцилиндр механизма обработки кромки а/б
КГЦ851.50-25-200	50-25	200	405		Амкодор	1 отв. G3/8?	Проуш. S=28 с ШС25	Гидроцилиндр для Польши
КГЦ852.125-85-720	125-85	720	1210		Амкодор	Колодки фланцевого зажима	Проуш. S=75 мм с ШС 70	Амкодор-814 и -914
КГЦ852-01.125-85-1030	125-85	1030	1500		Амкодор	Колодки фланцевого зажима	Проуш. S=75 мм с ШС 70	Амкодор-814 и -914
КГЦ852-02.125-85-1150	125-85	1150	1620		Амкодор	Колодки фланцевого зажима	Проуш. S=75 мм с ШС 70	Амкодор-814 и -914
КГЦ853.80-40-570	80-40	570	830		Амкодор	2 отв. М22?1.5	Проуш. S=45 с ШС40	V-образный отвал машины 352С
КГЦ854.160-80-600	160-80	600	945		Спецтехника	Колодки фланцевого зажима	Проуш. S=60 мм с ШС70 и цапфы D=80 мм	Гидроцилиндр подъема рыхлителя бульдозера
КГЦ855.100-63-1250	100-63	1250	1661		Спецтехника	3 штуц. М27?1.5	Проуш. S=50 мм с ШС50	Гидроцилиндр для бульдозера
КГЦ856.100-50-370	100-50	370	700		Амкодор	2 штуцера М22?1,5	Проуш. S=50 мм с ШС50	"гидроцилиндр подъёма-опускания отвала машин ""Амкодор FF1461, ""Амкодор FF1681"""
КГЦ857.50-25-320	50-25	320	555		Сельхозтехника	2 отв. М20?1.5	Проуш. S=28 с ШС25	МЖТ, МЖУ, ПР-Ф-145, ПР-Ф-180
КГЦ857-01.50-25-250	50-25	250	485		Сельхозтехника	2 отв. М20?1.5	Проуш. S=28 с ШС25	МЖТ, МЖУ-20, КДП, ИСС, ИРК
КГЦ857-02.50-25-160	50-25	160	395		Сельхозтехника	2 отв. М20?1.5	Проуш. S=28 с ШС25	МЖУ, МЖТ, ПР-Ф-110,145,180, РУ7000-1
КГЦ858.85-56-440	85-56	440	845		Амкодор	2 отв. G1/2?	Вилки отв. D=40 мм	Рулевой гидроцилиндр для шасси универсального 50300
КГЦ859.80-40-150	80-40	150	475		Спецтехника	2 отв. М22?1.5	Проуш. S=35 с ШС40 и и S=40 с ШС30	"Гидроцилиндр RV-3.0, RV3.5 для ОАО ""Раскат""  г. Рыбинск"
КГЦ862А.80-40-220	80-40	220	636	двухсторонний	Спецтехника	2 отв. G3/8?	2 отв. М22?1.5	Гидроцилиндр управляемого ведущего моста 15У
КГЦ863.32-20-115	32-20	115	220	Плунжерный	Гомсельмаш	1 отв. М14?1.5	проуш. с отв. D=15	"гидроцилиндр для ОАО ""Гомсельмаш"""
КГЦ867.110-56-230	110-56	230	567		Сельхозтехника	2 отв. G1/2?	"Вилка с отв. D=40; S55 с D=40"	Гидроцилиндр гидроцилиндр задней навески тратора 50300
КГЦ868.125-63-710	125-63	710	1058		Спецтехника	2 отв. М27?2	"Проуш. S=65 мм с ШС 60; цапфы D=50"	Машина штабелирующая А-30
КГЦ870.40-32-340	40-32	340	575	Плунжерный	Сельхозтехника	1 штуц. М16?1.5	"Проуш. S=22 с отв. D=20; в штоке М18x1,5"	"Гидроцилиндр комбайна ""Енисей"""
КГЦ871.32-20-63	32-20	63	157	Плунжерный	Сельхозтехника	1 штуц. М16?1.5	1 проуш. S12 с отв. D=12, резьба в штоке М10	"Гидроцилиндр воздухозаборника комбайна ""Енисей"""
КГЦ872.80-50-135	80-50	135	483		Спецтехника	2 отв. М22?1.5	"Проуш. S=35 с ШС40; D=35"	Рул. оборуд. (наклон колес) грейдера 165
КГЦ873.90-50-250	90-50	250	554		Спецтехника	2 отв. G1/2?	Проуш. S=45 и S=40 мм с EШС35	Гидроцилиндр передней навески шасси универсального 50300
КГЦ875.50-32-250	50-32	250	547		Амкодор	2 отв. М22?1.5	Проуш. S=28 с ШС25 и резьба М30х1.5	Рулевой грейдера 165
КГЦ875-01.50-32-300	50-32	300	547		Амкодор	2 отв. G3/8?	Проуш. S=28 с ШС25 и резьба М30х1.5	"Гидроцилиндр рулевой для грейдера ""АМКОДОР 165"""
КГЦ880.100-63-320	100-63	320	620		Спецтехника	2 отв. G3/8?	Шаровая опора D=60	Гидроцилиндр подъёма моста Рудгормаш
КГЦ881.3-140-1180	140-120-100	1180	500	Телескопический	Спецтехника	1 oтв. G1/2?	Цапфы d=50, ШС50	Гидроцилиндр подъема платформы
КГЦ882.100-63-180	100-63	180	625		Спецтехника	2 штуц. М18?1.5	см. чертеж	Гидроцилиндр гидроусилителя руля Рудгормаш
КГЦ886.25-18-160	21-18	160	350		Гомсельмаш	2 отв. М20?1.5	Проуш. S=20 с ШС20	Установка привода выгрузки КЗС-1624
КГЦ887.110-56-125	110-56	125	525		Амкодор	2 отв. G1/2?	Проуш. S=50 с ШС50	Наклона А-451А
КГЦ891.100-63-385	100-63	385	800		Амкодор	2 отв. М27?2	Проуш. S=50 мм с ШС50	Выравнивания машины 527
КГЦ892.125-80-800	125-80	800	1320		Амкодор	Колодки фланцевого зажима	Проуш. S=65 с ШС70, Вилка с отв D=70	Стрелы машины 342С4-06
КГЦ893.50-32-200	50-32	200	470		Амкодор	2 отв. К 3/8	Проуш. S=25 с ШС25	Рулевой А-451А
КГЦ895.125-80-400	125-80	400	750		Амкодор	2 отв. М27?2	Проуш. S=50 с ШС50	Ковша машины 527
КГЦ897.160-80-500	160-80	500	1030		Амкодор	Колодки фланцевого зажима	Проуш. S=100 мм с ШСЛ80	Ковш Амкодор 342С4-06
КГЦ900.63-25-80	63-25	80	396		Амкодор	2 отв. М16?1.5	Проуш. S=30 с ШС25, резьба М22?1.5	Погрузчик E16-S33
КГЦ904.70-32-95	70-32	95	423		Амкодор	2 отв. М16?1.5	1 проуш. S35 с ШС35, резьба на штоке М18?1.5	гидроцилиндр для вилочного погрузчика АМКОДОР Е25-S33
КГЦ906.50-32-155	50-32	155	412		Амкодор	2 отв. М16?1.5	Проуш. S=28 с ШС25	Наклон вил погрузчика Амкодор-416
КГЦ920.110-56-360	110-56	360	1535		Амкодор	2 отв. М27?2	Проуш. S=50 с ШС50	Ковша А-320С2
КГЦ921.110-56-710	110-56	710	1160		Амкодор	2 штуц. М22?1.5	Проуш. S=50 с ШС50	Стрелы А-320С2
КГЦ922.63-40-400	63-40	400	765		Амкодор	2 отв. М16?1.5	Проуш. S=45 с ШС40	Рулевой А-330В
КГЦ924.140-80-385	140-80	385	909		Амкодор	Колодки фланцевого зажима	Проуш. S=100 мм с ШСЛ80	Ковша А-330В
КГЦ925.110-63-710	110-63	710	1160		Амкодор	2 штуц. М30?2	Вилка с отв. D=60, проуш. S=60 с Ш60	Стрелы (правый) А-330В
КГЦ925-01.110-63-710	110-63	710	1160		Амкодор	2 штуц. М30?2	Вилка с отв. D=60, проуш. S=60 с Ш60	Стрела (левый) А-330В
КГЦ926.60-40-580	60-40	580	824		МЗКТ	"отв. М16; М14; КГ1/4?"	"Проуш. S=31 с отв. D=47; отв. М20"	Гидроцилиндр МПОТ прицепа и полуприцепа для МЗКТ
КГЦ927.140-90-540	140-90	540	945		МЗКТ	см. чертёж	"Проуш. S=90 с отв. D=130; М39х2"	Гидроцилиндр ЗОУ прицепа и полуприцепа для МЗКТ
КГЦ927-01.140-90-786	140-90	786	1196		МЗКТ	см. чертёж	"Проуш. S=90 с отв. D=130; М39х2"	Гидроцилиндр ПОУ прицепа и полуприцепа для МЗКТ
КГЦ929.32-20-90	32-20	90	360		Амкодор	2 отв. М14?1.5	2 отв. D=10	Адаптер погрузчика А-308
КГЦ930.90-40-238	90-40	238	1072		Амкодор	2 отв. М16?1.5	"Проуш. S=40 с ШС40; втулка D=35"	Ковш погрузчика А-308
КГЦ931.90-50-500	90-50	500	780		Амкодор	2 отв. М16?1.5	"Проуш. S=23 с ШС40; втулка D=35"	Стрела погрузчика А-308
КГЦ932.80-40-500	80-40	500	800		Узбекистан	2 отв. G1/2?	"Вилка с D=25 и  пазом S=28 мм;  S=32 с D=25"	Гидроцилиндр подъёма и опускания бункера хлопкоуборочной машины МХ-1.8
КГЦ933.80-40-200	80-40	200	515		Узбекистан	2 отв. М20?1.5	Вилка с D=25 и  пазом S=28 мм	Гидроцилиндр гидрофиксатора заднего моста хлопкоуборочной машины МХ-1.8
КГЦ934.55-30-200	55-30	200	515		Узбекистан	2 отв. М20?1.5	Вилка с D=25 и  пазом S=28 мм	"Гидроцилиндр для АО ""Ташкентский завод с/х техники"""
КГЦ935.60-25-285	60-25	285	530		Амкодор	2 отв. М16?1.5	Проуш. S=28 и S=19 с ШС30	Рулевое управление Амкодор А-308
КГЦ935-01.60-25-285	50-25	285	530		Амкодор	2 отв. М16?1.5	Проуш. S=28 и S=19 с ШС30	Рулевое управление Амкодор А-308
КГЦ937.90-45-75	90-45	75	580		Сельхозтехника	2 отв. М18?1.5	"Втулка В=25; вилка D=25"	Гидроцилиндр на культиватор КШП-10 (Элезер)
КГЦ939.50-30-200	50-30	200	375		Сельхозтехника	2 отв. М18?1.5	Втулки D=25	Гидроцилиндр на культиватор КШП-10 (Элезер)
КГЦ940.80-30-250	80-30	250	475		Сельхозтехника	2 отв. М18?1.5	"Втулка В=28; вилка D=28"	Гидроцилиндр на культиватор КШП-10 (Элезер)
КГЦ941.100-50-600	100-50	600	900		Сельхозтехника	2 отв. М18?1.5	Втулки D=35	Гидроцилиндр на культиватор КШП-10 (Элезер)
КГЦ942.63-40-400	63-40	400	765		Амкодор	"1 отв. М16?1.5; штуцер М18?1.5"	Проуш. S=45 с ШС40	Рулевой (левый) А-330С2
КГЦ942-01.63-40-400	63-40	400	765		Амкодор	"1 отв. М16?1.5; штуцер М18?1.5"	Проуш. S=45 с ШС40	Рулевой (правый) А-330С2
КГЦ943.110-63-710	110-63	710	1160		Амкодор	2 штуц. М30?2	Вилка с отв. D=60, проуш. S=60 с Ш60	Стрелы (правый) А-330С2
КГЦ943-01.110-63-710	110-63	710	1160		Амкодор	2 штуц. М30?2	Вилка с отв. D=60, проуш. S=60 с Ш60	Стрелы (левый) А-330С2
КГЦ944.2-100-850	100-80	850	555	Телескопический	Узбекистан	1 штуц М20?1.5	Цапфы d=35, сфера d=45	Подъем прицепа 2ПТС-4,5
КГЦ945.63-36-640	63-36	640	850		Амкодор Семаш	2 штуц. М18?1.5	Втулки D=30	Стрела погрузчика А141
КГЦ946.70-36-510	70-36	510	1230		Амкодор Семаш	2 штуц. М18?1.5	Втулки D=30	Ковш погрузчика А141
КГЦ947.3-100-3522	100-80-56	3522	1481	Телескопический	Спецтехника	1 штуц. М27?1.5	2 сферы d=50 мм	Гидроцилиндр для самосвала Е21
КГЦ948-01.50-32-320	50-32	320	570		Амкодор	2 отв. М16?1.5	Проуш. S=30 с ШС25	Рулевой А-320С2
КГЦ949.80-70-294	80-70	294	781	Плунжерный	Сельхозтехника	1 отв. М22?1.5	Втулки D=45	гидроцилиндр подъёма барабана Узбекистан 
КГЦ951.100-50-205	100-50	205	540		Сельхозтехника	2 отв. М18?1.5	вилки D=35	Гидроцилиндр бороны дисковой БДК-7,5
КГЦ951-01.100-50-165	100-50	165	540		Сельхозтехника	2 отв. М18?1.5	вилки D=35	Гидроцилиндр бороны дисковой БДК-7,5
КГЦ952.100-50-500	100-50	500	750		Сельхозтехника	2 отв. М18?1.5	Втулки D=35	Гидроцилиндр бороны дисковой БДК-7,5
КГЦ952-01.100-50-500	100-50	500	750		Сельхозтехника	2 отв. М18?1.5	Втулки D=35	Гидроцилиндр почвообрабатывающей техники КШП-5
КГЦ953.160-80-500	160-80	500	1030		Амкодор	Колодки фланцевого зажима	Проуш. S=100 мм с ШСЛ80	Ковша А-340С2
КГЦ954.125-80-800	125-80	800	1320		Амкодор	Колодки фланцевого зажима	Проуш. S=65 с ШС70, Вилка с отв D=70	Стрелы (правый) А-340С2
КГЦ955.80-56-400	80-56	400	765		Амкодор	"отв. М22?1.5; штуцер М22?1.5"	Проуш. S=40 с ШС40	Рулевой (левый) А-340С2
КГЦ956.80-40-400	80-40	400	763		Амкодор	2 отв. М27?2	Проуш. S=45 с ШС40	Амкодор-2631
КГЦ957.110-63-200	110-63	200	620		Амкодор	2 отв. G1/2?	Вилка с отв. D=60, проуш. S=50 с Ш50	Амкодор-2561
КГЦ958.125-63-360	125-63	360	810		Амкодор	2 отв. М27?2	Проуш. S=60 с ШСЛ60. Вилка с отв D=60	"Гидроцилиндр наклона манипулятора машины "" АМКОДОР-2551"""
КГЦ959.63-63-238	63-63	238	653	Плунжерный	Амкодор	"М27?2; М12?1.5"	Проуш. S=40 с ШС40	Амкодор-2531
КГЦ960.110-56-190	110-56	190	588		Амкодор	2 отв. М27?2	Проуш. S=50 с ШС50	Блокировка полурам (правый) А-2662, А-2682
КГЦ961.180-80-500	180-80	500	1030		Амкодор	Колодки фланцевого зажима	Проуш. S=100 мм с ШСЛ80	Ковша А-350С2
КГЦ962.140-80-800	140-80	800	1320		Амкодор	Колодки фланцевого зажима	Проуш. S=65 с ШС70, Вилка с отв D=70	Стрелы (левый) А-350С2
КГЦ963.80-50-250	80-50	250	550		Спецтехника	2 отв. М20?1.5	Проуш. S=40 с ШС40	"Сельхозтехника производства ""КлинМаш"""
КГЦ964.63-40-300	63-40	300	635		Амкодор	2 отв. М22?1.5	Проуш. S=45 с ШС40	"Гидроцилиндр блокировки для машины ""Амкодор-2661"""
КГЦ965.50-25-500	50-25	500	713		МЗКТ	"1 отв. М14?1.5;   1 отв. М18?1.5"	Проуш. S=30 и S=20 с ШС20	Гидроцилиндр перемещения трапа в поперечном направлении
КГЦ968.80-40-400	80-40	400	765		Амкодор	2 отв. G1/2?	Проуш. S=45 с ШС40	Гидроцилиндр подъема стрелы  АМКОДОР 2021
КГЦ974.32-16-60	32-16	60	219		Спецтехника	2 отв. G1/4?	Проуш.  S=11 с ШС17	"Гидроцилиндр для ООО ""Меркатор Калуга"""
КГЦ975.40-32-135	40-32	135	250	Плунжерный	Спецтехника	1 отв. G1/4?	2 отв. D=20	"Гидроцилиндр для ООО ""Меркатор Калуга"""
КГЦ976.2-160-1720	160-80	1720	1280	Двухсторонний	Спецтехника	2 отв. К3/4	"Вилка с D=40; проуш S=35 с ШС40"	"Гидроцилиндр телескопического механизма подъема мачты к установкам АПРС-40, АПРС-50, АПР60 ""ЕлАЗ"""
КГЦ977.80-40-970	80-40	970	1410		Амкодор	2 штуц. М18?1.5	Проуш. S=45 с ШС40	"Гидроцилиндр телескопа для ""АМКОДОР-732"""
КГЦ977-01.80-40-1250	80-40	1250	1690		Амкодор	2 штуц. М18?1.5	Проуш. S=45 с ШС40	"Гидроцилиндр телескопа для ""АМКОДОР-732"""
КГЦ983.100-56-200	100-56	200	800		Амкодор	Колодка фланцевого зажима	Проуш. S=40 мм с ШС50	"Гидроцилиндр перекоса для бульдозера ""АМКОДОР861"""
КГЦ984.80-40-300	80-40	300	595		Амкодор	2 отв. G1/2?	"Проуш. S=70 с ШС40; втулки D=50"	"Гидроцилиндр ковша машины ""Амкодор 208ЕМ"""
КГЦ985.100-56-470	100-56	470	875		Амкодор	"отв. М24?1,5; штуцер М22?1,5"	Проуш. S=40 мм с ШС50	"Гидроцилиндр поворота для бульдозера ""АМКОДОР861"""
КГЦ986.100-56-1100	100-56	1100	1380		Амкодор	Колодка фланцевого зажима	"Проуш. S=40 мм с ШС50; цапфы D=50"	Бульдозер DC200
КГЦ987.80-45-695	80-45	695	940		Амкодор	2 отв. G1/2?	"Проуш. S=70 с ШС50; втулки D=50"	"Гидроцилиндр стрелы машины ""Амкодор 208ЕМ"""
КГЦ992.25-18-30	25-18	30	220		МТЗ	2 отв. М14?1.5	"Проуш. D=25 с отв. D=16; ЕШС8"	Гидроцилиндр переключения муфты привода лебёдок
КГЦ993.63-36-120	63-36	120	410	С датчиком и гидрозамком	МТЗ	2 отв. G3/8?	Проуш. S=28 с ШС30	Гидроцилиндр управления опусканием (поднятием) фрезы MCУ-108 (ратрак)
КГЦ994.100-50-450	100-50	450	780			2 штуцера М22?1,5	Проуш. S=50 мм с ШС50	Рулевой А-2671, А-2571
КГЦ995.3-140-3740	140-120-100	3740	1565	Телескопический	Урал	1 штуц. М27?1.5	" Проуш. с ШС50 S=45; S=50"	"Гидроцилиндр для самосвала Е33 АО ""АЗ ""УРАЛ"""
КГЦ996.60-45-360	60-45	360	610	Плунжерный	МТЗ	1 штуцер М20?1.5	Проуш. S=28 с ШС25	Гидроцилиндр поворота отвала в горизонтальном направлении МСУ-108 (ратрак)
КГЦ997.80-36-350	80-36	350	590		МТЗ	2 отв. М20?1.5	Проуш. S=28 с ШС25	Гидроцилиндр подъёма отвала снегоуплотнителя для ратраков производства МТЗ
КГЦ999-01.3-140-1480	140-120-100	1480	742	Телескопический	Спецтехника	1 oтв. G1?	Цапфы d=50, ШС50	Гидроцилиндр подъёма кунга ножничного подъёмника
КГЦ1003.125-80-340	125-80	340	265		Амкодор	2 отв. G1/2?	Цапфы D=95, Вилка с отв D=60 и D=65	Наклон стола А-2671, А-2571
КГЦ1006.4-120-3020	120-100-80-56	3020	1120	Двухсторонний	Спецтехника	2 oтв. G1/2? 	 Проуш. с ШС35 S=30	"Гидроцилиндр коммунальной техники ОАО ""Коммаш"""
КГЦ1007.63-36-36-135	63-36	135	704	Двухштоковый	Спецтехника	3 отв. М18?1.5	2 отв. D=16	"Гидроцилиндр адаптера погрузочного оборудования (АО ""ПТЗ"")"
КГЦ1009.63-45-1480	63-45	1480	1813		Спецтехника	2 отв. М14?1,5	"Вилка D=30,5; D=20,5"	Гидроцилиндр опоры автокрана
КГЦ1010.100-80-500	100-80	500	812		Спецтехника	2 отв. М14?1,5	см. чертеж	Гидроцилиндр опоры автокрана
КГЦ1012.80-63-740	80-63	740	1000		Спецтехника	см. чертеж	Проуш. с ШС40 S=35	Мусоровоз с задней загрузкой МАЗ-5904
КГЦ1012-01.80-63-740	80-63	740	1000		Спецтехника	см. чертеж	Проуш. с ШС40 S=35	Мусоровоз с задней загрузкой МАЗ-5904
КГЦ1013.160-80-200	160-80	200	1185		Спецтехника	"М20?1.5; М27?1.5"	Проуш. S=60 с отв. D=105, проуш. S=45 с отв. D=45	Гидроцилиндр для бульдозера
КГЦ1014.63-30-2000	63-30	2000	2300		Амкодор	2 штуц. М14?1.5	Проуш. S=35 и S40 с ШС30	"Гидроцилиндр поднятия борта ППУ ""Амкодор-Семаш"""
КГЦ1018.70-40-710	70-40	710	1010		МТЗ	2 отв. М20?1.5	Проуш. S=40 с ШС40	"Гидроцилиндр стрелы погрузчика ОПФ-12 производства ""МТЗ"
КГЦ1019.70-40-460	70-40	460	1370		МТЗ	2 отв. М20?1.5	Проуш. S=40 с ШС40	"Гидроцилиндр ковша погрузчика ОПФ-12 производства ""МТЗ"
КГЦ1020.63-50-330	63-50	330	567		Спецтехника	"2 отв. G3/8; 2 отв. М14?1.5 "	"Шаровая опора D=55; плита 14 отв. D=14.5"	Гидроцилиндр аутригера автолифта
КГЦ1022.80-40-320	80-40	320	620		Амкодор	2 отв. G3/8?	Проуш. S=40 с ШС40	"Гидроцилиндр поворота машины "" Амкодор RT-140A"""
КГЦ1022-01.80-40-320	80-40	320	620		Амкодор	2 отв. G3/8?	Проуш. S=40 с ШС40	"Гидроцилиндр поворота машины "" Амкодор RT-140A"""
КГЦ1023.80-40-85	80-40	85	465		Амкодор	2 отв. G3/8?	Проуш. S=40 с ШС40	"Гидроцилиндр смещения полурам машины   "" Амкодор RT-140A"""
КГЦ1024.100-50-255	100-50	255	580		Амкодор	2 штуцера М22?1,5	Проуш. S=50 мм с ШС50	Качание гитары моста (левый) А-2671, А-2571
КГЦ1025.125-63-320	125-63	320	750		Спецтехника	2 отв. G1/2?	Проуш. с ШС60 S=60 и S=50 	"Гидроцилиндр для мусоровоза КО-440В для АО ""КОММАШ"" "
КГЦ1026.90-45-700	90-45	700	1065		Спецтехника	2 отв. G3/8?	Вилки с отв. D=30	"Гидроцилиндр для мусоровоза КО-440В для АО ""КОММАШ""  г. Арзамас, Россия."
КГЦ1027.75-45-1130	75-45	1130	1511		Спецтехника	2 отв. М18?1.5	2 отв. D=25.5	гидроцилиндр для хлопкоуборочной машины
КГЦ1028.100-60-600	100-60	600	920		Спецтехника	2 отв. G1/2?	Проуш. S=50 мм с ШС50	"Гидроцилиндр для мусоровоза КО-440В для АО ""КОММАШ""  г. Арзамас, Россия."
КГЦ1033.80-50-450	80-50	450	725	Гидрозамок	Спецтехника	2 отв. G1/2?	Втулки D=55 мм	Гидроцилиндр лесовозного полуприцепа ПЛ-10
КГЦ1034.110-56-710	110-56	710	1160		Амкодор	2 отв. М27?2	Проуш. S=50 с ШС50	Стрелы машины Амкодор-320
КГЦ1035.110-56-360	110-56	360	1540		Амкодор	2 отв. М27?2	Проуш. S=50 с ШС50	Ковша машины Амкодор-320
КГЦ1036.100-60-500	100-60	500	790		Амкодор	2 отв. G1/2?	Проуш. S=46 мм с ШС40	"Гидроцилиндр подъёма-опускания стрелы манипулятора АМКОДОР KF4556"""
КГЦ1037.90-50-780	90-50	780	1100		Амкодор	2 отв. G1/2?	"Проуш. S=45 с ШС40; втулка D=40"	"Гидроцилиндр подъёма-опускания рукояти манипулятора ""АМКОДОР KF4556"""
КГЦ1038.63-40-213	63-40	213	396		Амкодор	2 штуц. М18?1.5	Втулки D=34 мм	Гидроцилиндр захвата манипулятора АМКОДОР-KF4556
КГЦ1039.50-30-1455	50-30	1455	1825		МТЗ	2 штуц. М22?1.5	"Проуш. S=100; S=120 с отв. D=36"	"Гидроцилиндр манипулятора ГМ42Т производства ОАО ""МТЗ"
КГЦ1040.100-50-250	100-50	250	560		Сельхозтехника	2 отв. М20?1,5	Проуш. S=35 мм с ШС40	Гидроцилиндр навески техники БТЗ
КГЦ1041.80-50-280	80-50	280	696		Сельхозтехника	2 отв. М20?1,5	Проуш. S=45 мм с ШС50	"Гидроцилиндр рулевой для техники ""БТЗ"" г. Брянск, Россия"
КГЦ1044.100-80-700	100-80	700	1020		Воентехника	2 отв. К1/4?	см. чертеж	"Гидроцилиндр для ОАО ""2566 завод по ремонту радиоэлектронного вооружения"", г. Борисов"
КГЦ1044-01.100-80-700	100-80	700	1020		Воентехника	2 отв. К1/4?	см. чертеж	"Гидроцилиндр для ОАО ""2566 завод по ремонту радиоэлектронного вооружения"", г. Борисов"
КГЦ1048.140-80-560	140-80	560	1058		Амкодор	2 угольника М26?1.5	см. чертеж	Гидроцилиндр рукояти манипулятора АМКОДОР-KН20010
КГЦ1049.100-60-500	100-60	500	883		Спецтехника	2 отв. G1/2?	Проуш. S=40 мм с ШС45	"Гидроцилиндр плиты прессующей на мусоровоз с задней загрузкой КО-440В для АО ""КОММАШ""  г. Арзамас"
КГЦ1050.180-100-530	180-100	530	910		Амкодор	2 отв. G3/4?	Втулки D=80 мм	Гидроцилиндр стрелы манипулятора АМКОДОР-KН20010
КГЦ1051.63-40-2500	63-40	2500	2960		Амкодор	2 отв. G1/2?	"Втулки D=40; проуш. 38 с ШС35"	"Гидроцилиндр  телескопической стрелы мнипулятора KH20010 производства ОАО ""АМКОДОР"""
КГЦ1051-01.63-40-2110	63-40	2110	2430		Амкодор	2 отв. G1/2?	"Втулки D=40; проуш. 38 с ШС35"	"Гидроцилиндр  телескопической стрелы мнипулятора KF14080 производства ОАО ""АМКОДОР"""
КГЦ1052.125-80-670	125-80	670	956		Амкодор	2 отв. G3/4?	Втулки  D=80 мм и  D=60 мм	Гидроцилиндр стрелы манипулятора АМКОДОР-KF10080
КГЦ1053.125-70-980	125-70	980	1198		Амкодор	2 отв. G3/4?	Втулки  D=70 мм и  D=60 мм	Гидроцилиндр рукояти манипулятора АМКОДОР-KF10080
КГЦ1054.50-30-2060	50-30	2060	2710		Амкодор	2 отв. G1/2?	Втулки D=35	"Гидроцилиндр  телескопической стрелы мнипулятора KF10080 производства ОАО ""АМКОДОР"""
КГЦ1055.90-50-254	90-50	254	491		Амкодор	2 отв. G1/2?	Втулки  D=50 мм	Гидроцилиндр грейферного захвата АМКОДОР-KG29
КГЦ1063.125-80-400	125-80	400	900		Амкодор	2 отв. G1/2?	Проуш. S=60 с ШС70, ШС70	Гидроцилиндр наклона манипулятора для харвестера подъема стрелы  AMKODOR FH3061
КГЦ1064.63-40-325	63-40	325	520		Амкодор	2 отв. G3/8?	"Проуш. S=45 с ШС30; цапфы D=50"	"Гидроцилиндр рулевого оборудования АМКОДОР-FF560; -FH840"
КГЦ1066.40-40-9	40-40	9	64	Плунжерный	МТЗ	отв. М14?1.5	см. чертёж	Гидроцилиндр  фрикциона приспособления трелёвочного ПТ-85
КГЦ1067.50-25-90	50-25	90	320		Амкодор	2 отв. G3/8?	Проуш. S=28 и . S=30 с ШС25	Гидроцилиндр стабилизации для машин АМКОДОР FF560 и АМКОДОР FH840
КГЦ1069.125-85-1220	125-85	1220	1760		Амкодор	Колодка фланцевого зажима	"S=95; втулки  D=80 мм и  ШСЛ80"	"Гидроцилиндр подъёма/опускания стрелы экскаватора XC231LC пр-ва ОАО ""Амкодор"""
КГЦ1070.135-95-1475	135-95	1475	2040		Амкодор	Колодка фланцевого зажима	см. чертеж	"Гидроцилиндр подъёма/опускания рукояти экскаватора XC231LC пр-ва ОАО ""Амкодор"""
КГЦ1071.95-65-875	95-65	875	1345		Амкодор	Колодки фланцевого зажима	Проуш. S=85 с ШС70 втулки D=70	"гидроцилиндр подъёма/опускания ковша удлиненного оборудования  экскаватора XC231LC пр-ва ОАО ""Амкодор"""
КГЦ1072.70-40-2070	70-40	2070	2960		Амкодор	2 отв. G1/2?	см. чертеж	"Гидроцилиндр  телескопической стрелы мнипулятора KH24010 производства ОАО ""АМКОДОР"""
КГЦ1072-01.70-40-2500	70-40	2500	2960		Амкодор	2 отв. G1/2?	см. чертеж	"Гидроцилиндр  телескопической стрелы мнипулятора KH24010 производства ОАО ""АМКОДОР"""
КГЦ1073.80-50-276	80-50	276	464		Амкодор	2 отв. G1/2?	Втулки D=50 мм	Гидроцилиндр грейферного захвата АМКОДОР-KG30 и АМКОДОР-KG36
